Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_1598	0.536843925321458	0	0.27240422589136	0.0337620086573696	0.152818419513654	0	0.00417142061615914	0	0	0.931402723095219	0.496199003477052
MMRF_2302	0.3375429055696	0.19947371775826	0	0.458635433383599	0	0	0	0.00434794328854056	0	0.340058838411745	0.963853560206696
MMRF_2329	0.344580182966529	0	0.210843396882242	0.330017149030084	0.1087641958006	0	0.00579507532054551	0	0	0.937017471120889	0.353075802958882
MMRF_2501	0.0983144931429628	0.335699890653989	0.326427617905083	0.239557998297966	0	0	0	0	0	0.952187445318092	0.356494863140888
MMRF_1224	0.308251303165595	0.409151760409057	0	0.241896613117361	0	0	0	0.0407003233079874	0	0.650792786627509	0.761761218974333
MMRF_2253	0.27792145974641	0.284993277150714	0.249260622382989	0.187824640719886	0	0	0	0	0	0.892287844512542	0.487740098336614
MMRF_1189	0.4932228113996	0	0.124484253173466	0.163001679542003	0.219291255884932	0	0	0	0	0.936308750125786	0.351157500908501
MMRF_1963	0.288494398927725	0.0925068387240346	0	0.526726199953171	0	0.0525947715403305	0.0138823149150857	0.025795475939653	0	0.414780757455265	0.913002353014019
MMRF_1931	0.266589319989228	0.203293366228077	0	0.514635283351181	0	0	0	0.0154820304315143	0	0.364613541914835	0.941535748083037
MMRF_1758	0.0801345682346333	0.309851866567499	0	0.551222551612572	0	0.058791013585296	0	0	0	0.380918656582263	0.924966772105767
MMRF_2151	0.75723609035623	0	0.154675121235147	0	0.0697324026177584	0	0.0183563857908649	0	0	0.743343958013103	0.778813704465893
MMRF_2836	0.112481184538356	0.309144945819433	0	0.284683116042675	0.176989437563173	0	0.0331744497082376	0.0835268663281249	0	0.20862785037017	1.01242293799748
MMRF_2111	0.0523669796121656	0.227883079235503	0	0.65774218595449	0	0.0610393805189921	0	0.000968374678849367	0	0.198424490854135	0.995073061346855
MMRF_2622	0.291767252867716	0.135734405625658	0.23013357131311	0.0660916752599496	0	0.14000041813222	0.0225898339600329	0.113682842841313	0	0.917766664427508	0.406385325980212
MMRF_1485	0.224905007349815	0.0801576892706998	0.00559427909807181	0.666713451411892	0	0.0128634347738732	0	0.00976613809564831	0	0.487844159533932	0.873525371385959
MMRF_2433	0.295968211929324	0	0.487517897043194	0	0.202279989208946	0	0.0142339018185362	0	0	0.981724196347806	0.635911137431814
MMRF_2568	0.309176014509001	0	0.239041327957156	0.209667399998507	0.235367600219252	0	0.00674765731608452	0	0	0.937859410926319	0.367396576695165
MMRF_1825	0.268195452947353	0.247722076691942	0	0.429345384128918	0	0	0.0186506654356051	0.0360864207961825	0	0.430424509215395	0.906692102183274
MMRF_2634	0.426812065192925	0.164644173789077	0	0.304168186434958	0.0921300484655093	0	0	0.0122455261175306	0	0.520358850334551	0.860317784679801
MMRF_2061	0.394657649982398	0	0.387393780664902	0.160000142259668	0.0434407216377153	0	0.0145077054553167	0	0	0.975463529463131	0.473437063157008
MMRF_1775	0.497093287755554	0	0.0433283416020945	0.40960146535995	0.028918417801256	0	0.0210584874811454	0	0	0.876031443416272	0.51059301447884
MMRF_2015	0.51510473644477	0.239047738106833	0.120263725339057	0	0.0837983748139666	0	0.0237382088207618	0.0180472164746114	0	0.76198224853754	0.679746559396983
MMRF_1178	0.284653574211647	0.180755666411135	0	0.51481364984085	0	0	0.00914909987836731	0.0106280096579997	0	0.282698084230276	0.985973322028783
MMRF_2813	0.309458401244654	0.271679930072373	0	0.179973469754818	0	0.141701108293854	0.0382330904258886	0.0589540002084142	0	0.44064618297482	0.904593898193656
MMRF_2258	0.39157047653937	0.0459191939148428	0.179066552811394	0.341512784443485	0	0.0191914811789928	0	0.0227395111119145	0	0.931761224686497	0.36317019780547
MMRF_2654	0.445638568490513	0.155061618889938	0.331100724508745	0	0	0	0.0261007795171151	0.0420983085936892	0	0.903707527287118	0.609918873763161
MMRF_2279	0.322791355137272	0.250575781380628	0.280545850477682	0.0598536359084868	0	0.0817807643064797	0.00114167734254413	0.00331093544690793	0	0.957706286161418	0.356830900645579
MMRF_2291	0.242637112436044	0.112517023163878	0.388550480545584	0.175382246565121	0	0.0449348334724946	0	0.035978303816879	0	0.958770153065239	0.452247713419147
MMRF_1695	0.231104860119352	0.144351861082245	0	0.595141587103971	0	0	0	0.029401691694432	0	0.357607668568445	0.939974854681853
MMRF_1846	0.38473924254633	0.45014202461084	0	0	0	0	0.0558757534057059	0.109242979437124	0	0.338860019579967	0.99183429028151
MMRF_1783	0.293161767658357	0.130800707290618	0	0.558740014471515	0	0	0	0.0172975105795094	0	0.376159806841188	0.935184499628179
MMRF_1644	0.244447381561354	0	0.00365849510969297	0.649956436062887	0	0.101937687266067	0	0	0	0.60948571667014	0.809412928291015
MMRF_1423	0.323107006941969	0	0.3472742607612	0.180427255907214	0.133527461917832	0	0.0156640144717844	0	0	0.948219794994318	0.459359411640052
MMRF_1413	0.513058987968097	0	0.119318252559799	0.284684583115442	0.060979601557543	0	0.0219585747991186	0	0	0.92620392373057	0.37849364256289
MMRF_1796	0.450364454622004	0	0.290180960852341	0.0166980351762111	0.242756549349443	0	0	0	0	0.971419737001398	0.382265866064426
MMRF_2231	0.380110260741807	0.40203410780957	0	0.00116064774846012	0	0.0876638171044566	0.044401189486546	0.0846299771091606	0	0.0695096586199062	1.14781625055485
MMRF_1300	0.2361037890486	0.449053475947713	0	0.246788513881082	0	0.0387487928235332	0	0.0293054282990717	0	0.197481051706739	1.04148518673198
MMRF_2762	0.36269928452703	0.303408984897831	0	0.153928890977896	0	0.0595181206672663	0.0174595626530802	0.102985156276897	0	0.082424545537758	1.12083313849969
MMRF_2081	0	0.376814472352527	0	0.620865333903163	0	0	0	0.00232019374431021	0	0.271520998818409	0.96778720191298
MMRF_2059	0.213465090970927	0.0689788541255302	0	0.680297002279906	0	0.0219287329425123	0.0153303196811249	0	0	0.213808888081504	1.00181787383634
MMRF_1871	0.50352447382101	0	0.370166563066537	0.0637634302616658	0.0625455328507874	0	0	0	0	0.960012543554532	0.552836973513978
MMRF_1935	0.277126912107188	0.180669247888216	0	0.382237495882855	0	0.145278324078487	0.014688020043254	0	0	0.130896011443696	1.06054637327656
MMRF_1506	0.196826808177866	0.361631688133344	0	0.223021288021104	0	0.136483474127691	0.0246099970847678	0.0574267444552259	0	0.0913294836376371	1.07640008815478
MMRF_1210	0.338307432076179	0.165014435241117	0.212215927380876	0.18801322368719	0	0.0889250293865622	0.00752395222807603	0	0	0.908402129317835	0.429281152374383
