"","x"
"1081","ADAM15"
"1082","EFNA4"
"1083","EFNA3"
"1084","EFNA1"
"1085","SLC50A1"
"1086","DPM3"
"1087","KRTCAP2"
"1088","TRIM46"
"1089","MUC1"
"1090","THBS3"
"1091","MTX1"
"1092","GBA"
"1093","FAM189B"
"1094","SCAMP3"
"1095","CLK2"
"1096","HCN3"
"1097","FDPS"
"1098","RUSC1.AS1"
"1099","RUSC1"
"1100","ASH1L"
"1101","ASH1L.AS1"
"1102","MSTO1"
"1103","YY1AP1"
"1104","DAP3"
"1105","GON4L"
"1106","SYT11"
"1107","RIT1"
"1108","KHDC4"
"1109","ARHGEF2"
"1110","AL355388.2"
"1111","SSR2"
"1112","UBQLN4"
"1113","LAMTOR2"
"1114","RAB25"
"1115","MEX3A"
"1116","LMNA"
"1117","SEMA4A"
"1118","SLC25A44"
"1119","PMF1"
"1120","BGLAP"
"1121","PAQR6"
"1122","SMG5"
"1123","TMEM79"
"1124","GLMP"
"1125","CCT3"
"1126","TSACC"
"1127","C1orf61"
"1128","MEF2D"
"1129","AL365181.1"
"1130","NAXE"
"1131","GPATCH4"
"1132","AL365181.2"
"1133","AL365181.3"
"1134","AL590666.2"
"1135","AL590666.3"
"1136","CRABP2"
"1137","ISG20L2"
"1138","RRNAD1"
"1139","MRPL24"
"1140","HDGF"
"1141","PRCC"
"1142","SH2D2A"
"1143","PEAR1"
"1144","ARHGEF11"
"1145","ETV3"
"1146","FCRL5"
"1147","FCRL4"
"1148","FCRL3"
"1149","FCRL2"
"1150","FCRL1"
"1151","CD5L"
"1152","CD1D"
"1153","CD1C"
"1154","MNDA"
"1155","PYHIN1"
"1156","IFI16"
"1157","AIM2"
"1158","DUSP23"
"1159","VSIG8"
"1160","CFAP45"
"1161","TAGLN2"
"1162","LINC01133"
"1163","KCNJ10"
"1164","PIGM"
"1165","ATP1A2"
"1166","ATP1A4"
"1167","PEA15"
"1168","DCAF8"
"1169","AL139011.1"
"1170","PEX19"
"1171","COPA"
"1172","NCSTN"
"1173","NHLH1"
"1174","SLAMF6"
"1175","CD84"
"1176","SLAMF1"
"1177","AL121985.1"
"1178","CD48"
"1179","SLAMF7"
"1180","LY9"
"1181","F11R"
"1182","TSTD1"
"1183","USF1"
"1184","ARHGAP30"
"1185","KLHDC9"
"1186","PFDN2"
"1187","NIT1"
"1188","DEDD"
"1189","UFC1"
"1190","AL590714.1"
"1191","USP21"
"1192","PPOX"
"1193","B4GALT3"
"1194","ADAMTS4"
"1195","NDUFS2"
"1196","FCER1G"
"1197","TOMM40L"
"1198","MPZ"
"1199","SDHC"
"1200","AL592295.4"
"1201","AL592295.5"
"1202","FCGR2A"
"1203","HSPA6"
"1204","FCGR3A"
"1205","FCGR2B"
"1206","FCRLA"
"1207","FCRLB"
"1208","DUSP12"
"1209","AL359541.1"
"1210","ATF6"
"1211","UHMK1"
"1212","UAP1"
"1213","AL596325.2"
"1214","DDR2"
"1215","HSD17B7"
"1216","RGS5"
"1217","AL592435.1"
"1218","NUF2"
"1219","PBX1"
"1220","AL356441.1"
"1221","MGST3"
"1222","ALDH9A1"
"1223","TMCO1"
"1224","TMCO1.AS1"
"1225","UCK2"
"1226","AL358115.1"
"1227","FAM78B"
"1228","POGK"
"1229","TADA1"
"1230","ILDR2"
"1231","MAEL"
"1232","POU2F1"
"1233","AL136984.1"
"1234","CD247"
"1235","AL359962.3"
"1236","CREG1"
"1237","AL031733.2"
"1238","RCSD1"
"1239","MPZL1"
"1240","MPC2"
"1241","DCAF6"
"1242","TIPRL"
"1243","SFT2D2"
"1244","TBX19"
"1245","ATP1B1"
"1246","NME7"
"1247","BLZF1"
"1248","SLC19A2"
"1249","Z99572.1"
"1250","C1orf112"
"1251","SELL"
"1252","METTL18"
"1253","SCYL3"
"1254","KIFAP3"
"1255","GORAB.AS1"
"1256","GORAB"
"1257","BX284613.2"
"1258","FMO1"
"1259","FMO4"
"1260","PRRC2C"
"1261","VAMP4"
"1262","EEF1AKNMT"
"1263","DNM3"
"1264","DNM3OS"
"1265","PIGC"
"1266","SUCO"
"1267","TNFSF4"
"1268","AL645568.1"
"1269","PRDX6"
"1270","KLHL20"
"1271","CENPL"
"1272","DARS2"
"1273","GAS5"
"1274","ZBTB37"
"1275","RC3H1"
"1276","RC3H1.IT1"
"1277","RABGAP1L.DT"
"1278","RABGAP1L"
"1279","GPR52"
"1280","RABGAP1L.IT1"
"1281","Z99127.4"
"1282","CACYBP"
"1283","MRPS14"
"1284","TNN"
"1285","KIAA0040"
"1286","LINC02803"
"1287","COP1"
"1288","AL591043.2"
"1289","PAPPA2"
"1290","RASAL2"
"1291","C1orf220"
"1292","AL137796.1"
"1293","AL449106.1"
"1294","RALGPS2"
"1295","ANGPTL1"
"1296","FAM20B"
"1297","TOR3A"
"1298","ABL2"
"1299","SOAT1"
"1300","AXDND1"
"1301","TOR1AIP2"
"1302","AL353708.3"
"1303","TOR1AIP1"
"1304","AL353708.1"
"1305","CEP350"
"1306","QSOX1"
"1307","LHX4"
"1308","ACBD6"
"1309","XPR1"
"1310","KIAA1614"
"1311","STX6"
"1312","MR1"
"1313","IER5"
"1314","GLUL"
"1315","RNASEL"
"1316","RGS16"
"1317","NPL"
"1318","AL355999.1"
"1319","DHX9"
"1320","LAMC1"
"1321","LAMC2"
"1322","SMG7.AS1"
"1323","SMG7"
"1324","NCF2"
"1325","ARPC5"
"1326","RGL1"
"1327","TSEN15"
"1328","C1orf21"
"1329","EDEM3"
"1330","NIBAN1"
