Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
p52	0.308893042117422	0	0.113579866931741	0	0.212860963375114	0.318625713904185	0.0460404136715384	0	0	0.121908939908875	1.0009037367987
p53	0.216563148565168	0.280376197682819	0.00967118697559288	0.00452260798204312	0.21955962727374	0.265330645782165	0.00397658573847257	0	0	0.217709242502357	1.00282351577477
p54	0.238666049027062	0.0765985540073259	0.0213616801854289	0.00029276430444463	0.0624985016986571	0.599827391406065	0.000755059371015913	0	0	0.220553521545277	1.00115548711557
p55	0.219269749079073	0.255084019166306	0	0	0.0615863159092342	0.434607479038077	0.0294524368073104	0	0.04	0.051348184129644	1.00914364880113
p56	0.318601118725011	0.104884810588619	0	0	0.287094614954643	0.273104304393751	0.0163151513379775	0	0	0.112679622382009	1.00699686068537
p57	0.138044475476936	0.184567575946694	0.168745526681203	0	0.177063602445018	0.317392161732874	0.0141866577172741	0	0	0.414950642793971	0.976190935734825
p58	0.576497981093533	0.166793623344955	0	0	0.0821974802860631	0.125740235283704	0.0487706799917447	0	0	0.179310569017544	0.99695145438513
p59	0.269077403325967	0.155895261423713	0	0.00691693474962322	0.0719295273659011	0.482101543781983	0.0140793293528123	0	0	0.19854638118627	1.00177208645363
p60	0.112296259325542	0.2719712528289	0.0121829211146864	0	0.0483363607561553	0.531182945596285	0.0240302603784303	0	0	0.164111779159951	1.00217824695097
p61	0.319408335970345	0.252882287588941	0	0	0.0172457586507592	0.410463617789954	0	0	0	0.22587628441911	1.00289675708242
p62	0.153953358134817	0.170856039663355	0.0501777847398194	0	0.201829910471659	0.417352932363449	0.00582997462690061	0	0	0.141949057716483	1.00497706962426
p63	0.231292723598058	0.135708516833341	0	0	0.161308916640672	0.467006797761982	0.00468304516594677	0	0	0.212168081668309	1.00281244464968
p64	0.253912949161533	0.176297940186503	0.0844236009396209	0	0.0280859894947921	0.441379276955038	0.0159002432625124	0	0	0.260616162152064	0.994620250201256
p65	0.65865422733206	0	0	0.00870260749687387	0.283605460863536	0.0164589763917997	0.0325787279157305	0	0	0.311003109987149	0.989146639016013
p66	0.685766572278204	0.0573723007489693	0	0.0196063087647545	0.17678777029596	0.0360202416118233	0.024446806300289	0	0	0.307535080494164	0.991318248081272
p67	0.149744938711458	0.248033476653146	0.0302609022210756	0	0.238762530968409	0.330349496642234	0.00284865480367711	0	0	0.257715582050023	0.999817390324327
p68	0.659274474434871	0.0270664390095409	0	0.00795691023267195	0.156928947164112	0.148773229158804	0	0	0	0.179185773338231	1.00438916120622
p69	0.0446508322828278	0.177533126982055	0.0354928441850139	0	0	0.734931088222172	0.0073921083279314	0	0	0.244369746327793	0.998295523491296
p70	0.237418646317453	0.221735510593663	0.0519231483268245	0	0.121948028104942	0.35666564226232	0.0103090243947983	0	0	0.348165451689867	0.992224886640437
p71	0.298415281102053	0.00561329747170273	0.0511806722360919	0	0.414297335968562	0.223612469912985	0.00688094330860589	0	0	0.379011951461572	0.989796759149893
p72	0	0.418471653968921	0	0	0.139245613754316	0.382249921200531	0.0600328110762321	0	0	0.0837883619399472	1.00515795455104
