Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_2194	0.330663217317213	0	0.136850962668298	0.0121758942244838	0.458923439146018	0.0297782422586203	0.0316082443853664	0	0	0.181401539559136	0.998477943837369
MMRF_1992	0.327663095644733	0	0.08667709901806	0	0.373881871036704	0.15151931700324	0.0602586172972634	0	0	0.140626587225013	0.998418134298052
MMRF_1235	0.00890594116404072	0.272594174591143	0.0451174148498286	0.00236048524184369	0.57175649274452	0.0133712611960837	0.0858942302125402	0	0.18	0.0293085466155222	1.01337742168334
MMRF_2613	0	0.166668515953789	0.337664826076463	0	0.118081553650263	0.304794108599553	0.0727909957199321	0	0.01	0.0893235181556782	1.00236098448774
MMRF_1232	0	0.251444025042947	0.575052355843286	0.00756223278842041	0	0.165941386325346	0	0	0	0.373953329163876	0.968160378995486
MMRF_2344	0	0.144020832712604	0.0595939927673908	0	0.136400101604188	0.657407565210776	0.00257750770504078	0	0	0.182438329245191	1.00377905927281
MMRF_1931	0	0.131762045911623	0.100290731898072	0.0230126087228286	0	0.740005652900614	0.00492896056686235	0	0	0.128578714449936	1.00429919246926
MMRF_1024	0.34043620704093	0.140541650034639	0	0.0118862477246212	0.199343090193486	0.297229307770342	0.0105634972359821	0	0.01	0.11824024513324	1.0073625733201
MMRF_1783	0.0856939482693541	0.383291839622121	0	0	0.142152844044635	0.359766081105222	0.0290952869586682	0	0.15	0.0347952899530157	1.01019702295678
MMRF_1024.1	0.0145242801914319	0.198424272958368	0	0	0.226849571894605	0.540547108898465	0.0196547660571306	0	0.01	0.0933425134328086	1.00751477279254
MMRF_1157.2	0.401291632587539	0	0	0.0034973884196077	0.589651267798097	0	0.00555971119475692	0	0	0.508081229151255	0.992276258686894
MMRF_1889	0.0895010133411268	0	0.67135326312762	0.226566919232015	0	0	0	0.0125788042992382	0	0.343979131581823	0.952811907877292
MMRF_1309	0.236028662364294	0.139902199779409	0.0038861435833762	0	0.134183400730981	0.463509100765943	0.0224904927759976	0	0.01	0.100495932853564	1.0066021380693
MMRF_1401	0.244664141342833	0.207024520898591	0.0692007348997759	0.00217040898618354	0.231907141272588	0.218321508272789	0.02671154432724	0	0	0.2119783972246	0.998978186680243
MMRF_1627	0.212112724243393	0.112136128517899	0.0872066624079036	0.0248497160723375	0.0313308649298305	0.513327889492866	0.0190360143357697	0	0	0.150206672707648	1.00197052389851
MMRF_1518	0	0	0.812104454655705	0.0381072701565577	0	0.149788275187737	0	0	0	0.333968471216677	0.961675107254519
MMRF_1500	0.105960561424082	0.341963798997244	0.0675885198557697	0	0.221395653011153	0.233187974535006	0.029903492176746	0	0.01	0.0996110924650986	1.00576519322673
MMRF_1496	0	0	0.316009920560302	0.0203144392539676	0	0.659851186529106	0.00382445365662447	0	0.01	0.0916046998618656	1.00424212243402
MMRF_1533	0.0454725275206304	0.225630293384715	0.468449342694734	0.0728689292913599	0	0.145196179259384	0	0.0423827278491765	0	0.185459635398226	0.987729099096389
MMRF_1229.1	0.0313280579992433	0.377943048936782	0.0382766670209311	0	0.179535873068799	0.357514535817531	0.0154018171567138	0	0.02	0.0797449814001087	1.00863497201173
MMRF_1518.1	0	0	0.87817820995625	0.110174160236967	0	0.00806083018095394	0	0.00358679962582877	0	0.428707650741614	0.935166112487729
MMRF_2490	0	0.0299630857886113	0.633754742794298	0.0114376749553659	0	0.278743601085744	0.0461008953759816	0	0	0.16513030151813	0.99058030454037
MMRF_1049.1	0.213703698861985	0.189153956610576	0.0806738379781597	0	0.113880538886228	0.384902393346303	0.0176855743167478	0	0	0.143796903912945	1.00404349167249
MMRF_1587	0	0	0.616345505581786	0.0478432873238539	0.198820980969744	0.126803171525418	0.0101870545991975	0	0	0.277090932591759	0.976432954045046
MMRF_2039	0.307767234143427	0	0.491764383282308	0	0.0326812795841465	0.0870241792459694	0.080762923744149	0	0.02	0.0784943309379772	1.00455416285764
MMRF_2015	0.130290954097249	0	0.61623095149656	0	0.0107808772913252	0.240239118298852	0.00245809881601377	0	0	0.24827133363761	0.983032240055745
MMRF_1131	0.140602985324434	0.33717530251906	0.039739829023886	0.0109082328962704	0	0.469869685859903	0.00170396437644598	0	0.01	0.102755207913745	1.00814735301245
MMRF_1179	0.0357234378410941	0.410121951965975	0.00926058264966368	0.0272579552858017	0	0.508990392292292	0.00864567996517316	0	0	0.161034137065852	1.00482918506226
MMRF_1694	0.57466713834852	0	0.235735691708289	0.048187036918366	0	0.141410133024825	0	0	0	0.160224161765089	0.999959013081376
MMRF_1978	0.208075040027875	0.453276726475494	0	0.0055914231441968	0.123998433392608	0.137956338076578	0.0711020388832483	0	0.14	0.0355294361604213	1.01098445832518
MMRF_1656	0.33570256334955	0	0.0945012959074624	0.0539015400114613	0.274036740336472	0.241857860395054	0	0	0	0.206030288540276	1.00034086265519
MMRF_2087	0.120378989154815	0.334738111871593	0.0259071629649361	0	0.317227068868461	0.151465650097039	0.050283017043156	0	0.05	0.0628930123247264	1.00756094123111
