Mixture	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like	P-value	Correlation	RMSE
MMRF_1290	0	0	0.514941085738125	0.0424802844880978	0	0.442578629773777	0	0	0.02	0.0854527645424661	1.00416575632062
MMRF_2335	0.293269137395774	0.198776928746178	0.0599492117473785	0	0.207514837187611	0.216737785284948	0.0237520996381099	0	0.01	0.105906542955947	1.00606246831002
MMRF_2681	0	0.113069043841222	0.294928377315557	0	0.212198732847401	0.354972504109415	0.0248313418864051	0	0	0.190868068084037	0.995484028633793
MMRF_1718	0.281311802231291	0.278390856214526	0.0517527895545651	0	0.334564660550142	0	0.0539798914494757	0	0.04	0.0701797103533193	1.00680625742573
MMRF_1727	0.277029422387018	0.209836544783088	0.305301515220534	0.117880361212127	0	0.0871278724529848	0.00282428394424846	0	0	0.212110496820531	0.990899085719737
MMRF_2214	0.266455066041098	0.16793526510821	0.0543309309861403	0	0.068094647627643	0.410088359309141	0.0330957309277672	0	0	0.144417187815229	1.00169312818429
MMRF_1157	0.569571378593843	0	0.00450893934841942	0.000731791715743566	0.399680105096317	0	0.0255077852456773	0	0	0.386949674617745	0.988565666361778
MMRF_2269	0	0	0.222651324838896	0.00223710328151278	0	0.770341386252547	0.00477018562704438	0	0.05	0.0652952628034939	1.00718124242261
MMRF_2574	0	0.0476118758367717	0.073267995332172	0.0507410491095675	0	0.828379079721489	0	0	0	0.167228811664492	1.0016280350735
MMRF_2682	0.12133165120148	0.319534675271851	0.0261903090023538	0	0.0777634379588201	0.451486969813	0.00369295675249459	0	0	0.134947746633608	1.00729980398471
MMRF_2018	0.34201118715102	0.171399101745935	0.00317050153263749	0	0.169705944518502	0.274415708366339	0.039297556685566	0	0	0.129962301498833	1.00271032375462
MMRF_2564	0	0.34404940343086	0.136700629410723	0	0.112869649403502	0.40421434051769	0.00216597723722471	0	0	0.116577223051467	1.00641032224788
MMRF_2767	0.230852128493346	0.284872259031589	0.0466815112831476	0.00894858582251719	0.127747479159413	0.279675624296551	0.0212224119134359	0	0.01	0.0987697714197335	1.00663340426092
MMRF_1808	0.312999403157706	0.208925012973909	0.00955463696497503	0	0.433896178647938	0	0.0346247682554714	0	0.01	0.0929077945447579	1.00674660639338
MMRF_1439	0.119148699419675	0.270076045332834	0.0437199338464849	0.025295606636778	0.462666827726637	0.0790928870375913	0	0	0	0.273018240265694	1.00183703255174
