NAME	bd_highCXCR4_like	tn_lowCD74_like	bd_cycling_like	tn_cycling_like	bd_end_like	bd_lowCXCR4_like	bd_pb_like	tn_highCD74_like
DTYMK	1	1	86.3450994921546	61.3879756540863	1	17.2089283634434	1	1
DUT	69.8294366760003	84.4071069234696	472.162237337165	304.158761529007	115.988343023033	108.665145953671	48.0850886002499	77.7062358935508
DXO	1	1	17.3699052919969	13.8295325241199	1	1	1	1
DYNLL2	1	19.5866543918385	29.4599063707789	1	1	1	1	1
E2F2	1	1	43.501617410314	114.854682068129	1	1	1	1
E2F4	1	1	16.5816098870367	1	1	1	24.697646233524	1
E2F5	1	1	1	41.3940631500312	1	1	203.46798748166	243.216482549179
EBF1	1	1	1	305.597707916218	1	1	1859.11422085251	2313.04206175551
ECT2	1	1	42.0598197032354	70.9554705807399	1	1	1	1
EFCAB2	1	1	1	1	1	1	155.916872492492	139.157100710283
EHD4	1	1	1	26.0779865057485	1	1	29.5549273701936	1
EIF2B5	1	1	16.5485664804299	1	1	20.1501690874074	1	1
EIF2D	1	1	26.3053133161783	24.8290938627474	1	26.320892233489	1	1
ELFN1.AS1	1	1	34.8605934117976	1	1	24.6236053820719	1	1
EMC9	1	1	38.6470172866296	35.5299285842887	1	17.9206808710495	1	1
ENOSF1	1	19.207220501846	30.7296912872755	1	1	22.1844476847004	1	1
ENOX2	1	1	1	1	1	1	52.5586250471499	97.666451305113
EPHX1	1	21.2875819215495	25.2487133345289	1	1	1	1	1
EPS15L1	1	1	1	1	1	1	79.3573483685011	100.451718674349
ESCO2	1	1	43.3900155602832	52.8339204762001	1	1	1	1
EXOC6B	1	1	1	1	1	1	83.4031864166205	109.996399787602
EYA2	39.3722506519616	1	1	1	1	57.9359788256909	1	1
FAM111B	1	1	67.9853892689006	125.981448570544	1	1	1	1
FAM117B	1	1	1	1	1	1	112.783311762935	111.435948716934
FAM120B	1	1	1	1	1	1	84.6240446256404	103.169246090405
FAM135A	1	1	1	1	1	1	77.5389902670571	143.164034617377
FAM13B	1	1	1	42.5116200598367	1	1	187.702277777063	159.320300210732
FAM168A	1	1	1	1	1	1	86.9521963347266	71.4434319886232
FAM193A	1	1	1	1	1	1	86.2310415494403	102.607957850536
FAM241A	1	1	1	1	1	1	84.2321495406542	64.2603621784243
FAM3A	23.920393655012	1	1	1	1	21.1095472260197	1	1
FAM53B	1	1	1	1	1	1	147.872138861867	110.933870627505
FAM53C	1	1	18.0109264630563	1	1	18.9814631842513	1	1
FANCA	1	1	30.617440808897	41.320260305474	1	1	1	1
FANCD2	1	1	18.2940448064105	34.3151084982905	1	1	1	1
FANCI	1	1	58.7354624979331	98.5225022450404	1	1	1	1
FARS2	1	1	24.2949550997207	1	1	27.8327467464953	208.57086926108	298.785471631437
FBXL20	1	1	1	48.9929057558449	1	1	197.573123729911	214.000758421592
FBXL4	1	1	1	1	1	1	87.0273264146184	99.8105209373448
FBXO32	237.394118353799	1	1	1	1	88.7914835854978	1	1
FBXO33	1	1	1	1	1	1	90.8358086788198	103.758463569291
FBXO34	1	1	1	1	1	1	97.3142693093655	81.6330853327097
FBXO4	1	1	26.1426866977864	43.2419188843231	1	1	1	1
FBXO42	1	1	1	1	1	1	98.4743057973016	127.058640480389
FBXO5	1	1	48.2376612612704	110.719602097106	1	1	1	1
FCRL1	1	1	1	1	1	1	302.716377769884	315.612375607352
FDX2	1	1	18.6424638820318	1	1	21.5430284685257	1	1
FEN1	1	1	83.3884210747028	67.3915576849884	1	1	1	1
FEZ2	1	1	1	1	1	1	68.1710043182286	105.0438083888
FGD3	1	1	1	1	1	1	124.022556294553	154.753453777636
FGGY	1	1	1	1	1	1	94.0026980856341	66.8155683138529
FKBP4	1	22.3857444289326	45.4358801528627	1	1	25.9305097627135	1	1
FLNA	1	1	1	1	1	22.9329880237571	25.5762498239047	1
FN3KRP	1	1	19.232339755545	22.583497205611	1	1	1	1
